EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
343190.200,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
340717.200,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
338315.200,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
336057.200,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
333966.000,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
331975.700,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
330020.800,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
328102.400,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
326298.700,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
324634.400,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
323058.400,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
321498.200,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
319964.600,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
318524.800,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
317209.500,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
315958.300,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
314693.600,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
313446.500,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
312272.700,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
311206.600,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
310192.800,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
309168.300,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
308150.000,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
307200.000,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
306343.800,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
305535.300,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
304701.800,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
303852.800,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
303065.200,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
302370.400,749756.900,749881.200,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
301712.900,748227.300,748352.200,748839.200,748529.200,748528.400,748935.800,748733.100,0.000
301032.700,746755.200,746881.400,747367.200,747058.300,747057.300,747463.800,747261.500,0.000
300335.500,745343.600,745470.600,745955.100,745646.400,745645.600,746051.800,745849.900,0.000
299691.500,743992.700,744120.600,744603.700,744295.300,744295.100,744700.800,744499.400,0.000
299128.400,742697.000,742825.200,743307.100,743000.200,742999.200,743404.900,743203.700,0.000
298596.200,741454.900,741583.200,742065.200,741758.300,741757.500,742162.400,741961.800,0.000
298037.500,740261.000,740388.900,740870.100,740564.100,740563.100,740967.900,740767.500,0.000
297455.500,739111.200,739240.000,739719.800,739414.900,739413.400,739818.100,739618.200,0.000
296920.700,738009.300,738139.200,738617.900,738313.800,738312.300,738716.300,738516.800,0.000
296457.400,736957.200,737087.600,737565.900,737261.900,737261.000,737664.300,737465.600,0.000
296016.900,735945.000,736075.900,736553.100,736248.900,736248.800,736651.300,736453.000,0.000
295555.100,734977.100,735108.300,735584.900,735281.300,735280.400,735683.200,735484.600,0.000
295053.300,734037.900,734169.800,734645.400,734342.300,734341.400,734744.300,734545.900,0.000
294597.200,733138.900,733270.500,733745.500,733443.100,733442.400,733845.000,733647.300,0.000
294215.200,732282.200,732414.200,732888.700,732586.400,732586.100,732988.300,732790.400,0.000
293861.600,731458.300,731590.700,732064.800,731762.900,731762.600,732163.800,731966.800,0.000
293467.500,730664.400,730796.900,731270.400,730968.900,730968.700,731369.800,731172.900,0.000
293046.700,729900.600,730033.600,730505.800,730205.000,730204.600,730605.500,730409.100,0.000
292663.300,729167.600,729301.200,729773.100,729472.300,729471.800,729872.600,729676.700,0.000
292349.300,728468.500,728602.000,729073.900,728773.200,728773.000,729173.500,728977.700,0.000
292053.700,727795.800,727929.400,728400.600,728100.300,728100.100,728500.300,728304.900,0.000
291718.600,727143.900,727277.900,727748.600,727448.600,727448.400,727848.900,727653.100,0.000
291356.100,726514.500,726648.600,727119.000,726819.300,726819.100,727219.500,727023.400,0.000
291040.100,725916.200,726050.300,726520.900,726221.100,726220.800,726620.900,726425.400,0.000
290784.100,725342.400,725476.300,725946.100,725647.000,725646.800,726046.600,725851.300,0.000
290554.300,724791.900,724926.600,725395.600,725097.100,725096.800,725496.400,725301.000,0.000
290285.600,724262.600,724397.600,724866.100,724567.900,724567.300,724966.400,724771.700,0.000
289977.400,723748.300,723883.800,724351.500,724054.400,724053.400,724452.200,724257.900,0.000
289700.600,723253.900,723389.400,723856.600,723559.500,723558.900,723957.500,723763.200,0.000
289488.700,722783.600,722919.100,723386.200,723088.700,723088.400,723487.000,723292.800,0.000
289299.100,722333.800,722469.400,722935.800,722638.600,722638.800,723036.800,722842.800,0.000
289067.800,721898.300,722033.700,722500.300,722203.100,722203.300,722601.400,722407.600,0.000
288808.600,721476.400,721611.800,722078.300,721781.500,721781.300,722179.400,721985.600,0.000
288570.800,721070.100,721206.100,721671.800,721375.100,721374.800,721773.200,721578.900,0.000
288393.200,720682.300,720818.600,721283.900,720987.200,720987.100,721385.100,721191.100,0.000
288235.200,720312.400,720448.400,720914.100,720617.300,720617.400,721014.600,720821.100,0.000
288038.400,719954.600,720090.300,720555.400,720259.300,720259.200,720656.400,720463.100,0.000
287807.400,719608.800,719744.900,720209.400,719913.700,719913.400,720310.800,720117.800,0.000
287603.400,719274.200,719410.500,719874.900,719579.100,719579.300,719976.400,719783.300,0.000
287458.400,718953.400,719090.100,719554.000,719259.100,719258.500,719655.800,719462.900,0.000
287326.300,718647.100,718784.100,719247.500,718952.700,718952.000,719349.200,719156.500,0.000
287150.000,718348.600,718485.500,718948.800,718654.100,718653.600,719050.400,718857.600,0.000
286935.100,718056.400,718192.900,718656.300,718361.800,718361.300,718757.800,718565.400,0.000
286757.500,717777.300,717913.800,718377.100,718082.600,718082.300,718478.700,718286.100,0.000
286641.300,717514.100,717651.100,718113.600,717819.300,717819.300,718215.900,718023.000,0.000
286533.800,717261.300,717398.100,717860.800,717566.700,717566.700,717963.000,717770.300,0.000
286385.900,717014.100,717151.600,717613.900,717320.100,717319.800,717716.300,717523.900,0.000
286207.100,716775.700,716913.400,717375.500,717081.300,717081.300,717477.700,717285.100,0.000
286051.600,716545.900,716683.700,717146.000,716851.600,716851.700,717247.500,717055.100,0.000
285944.700,716326.300,716463.800,716926.100,716631.900,716631.900,717027.800,716835.600,0.000
285856.800,716118.300,716256.300,716717.800,716424.100,716423.900,716819.900,716627.800,0.000
285727.100,715915.100,716053.100,716514.900,716220.800,716220.800,716616.800,716424.700,0.000
285557.600,715717.300,715855.300,716316.900,716023.100,716023.100,716418.700,716227.200,0.000
285423.500,715523.800,715661.300,716123.100,715829.100,715829.500,716224.800,716033.200,0.000
285350.200,715345.400,715482.900,715944.400,715650.400,715651.300,716046.300,715854.500,0.000
285282.800,715172.200,715310.200,715771.100,715477.900,715478.100,715873.100,715681.400,0.000
285173.700,715004.300,715142.100,715603.300,715309.600,715310.100,715704.900,715513.500,0.000
285023.700,714837.600,714975.400,715436.400,715142.700,715143.600,715538.400,715347.100,0.000
284901.500,714676.900,714814.600,715275.500,714982.100,714982.600,715377.600,715185.900,0.000
284831.200,714525.300,714663.200,715124.100,714830.800,714831.100,715226.300,715034.500,0.000
284772.300,714379.800,714517.800,714978.700,714685.100,714685.700,715080.500,714889.200,0.000
284665.700,714237.800,714376.000,714836.600,714543.200,714543.600,714938.800,714746.900,0.000
284525.700,714097.900,714236.400,714696.900,714403.300,714403.600,714798.900,714607.100,0.000
284409.500,713962.900,714101.900,714562.000,714268.700,714269.000,714664.000,714472.400,0.000
284352.800,713835.400,713974.400,714434.600,714141.700,714141.700,714536.500,714345.100,0.000
284311.900,713715.300,713854.300,714314.600,714021.500,714021.500,714416.600,714224.900,0.000
284221.000,713596.800,713735.300,714195.500,713902.100,713902.100,714297.900,714106.200,0.000
284083.900,713477.100,713616.100,714076.300,713783.100,713783.100,714178.400,713986.800,0.000
283987.100,713364.600,713502.900,713962.700,713670.500,713670.700,714065.500,713874.000,0.000
283947.500,713260.200,713398.900,713858.300,713566.100,713566.100,713961.100,713769.800,0.000
283910.900,713162.100,713300.400,713759.900,713467.800,713467.900,713862.600,713671.300,0.000
283826.500,713060.300,713199.100,713658.100,713366.500,713366.400,713760.900,713569.600,0.000
283703.700,712959.800,713098.600,713557.800,713265.900,713265.800,713660.300,713469.100,0.000
283605.500,712860.900,712999.300,713459.100,713166.700,713166.900,713561.300,713370.200,0.000
283563.800,712768.200,712906.700,713366.300,713073.900,713074.100,713468.500,713277.300,0.000
283544.100,712684.900,712823.400,713282.800,712990.400,712990.600,713385.000,713194.100,0.000
283473.100,712601.600,712740.100,713199.800,712907.300,712907.300,713301.800,713110.800,0.000
283350.800,712511.700,712650.600,713109.900,712817.800,712817.400,713212.300,713021.500,0.000
283264.800,712430.300,712569.100,713028.400,712736.100,712736.000,713130.800,712940.100,0.000
283239.800,712357.400,712496.300,712955.100,712663.100,712663.500,713057.900,712866.900,0.000
283227.100,712289.500,712428.000,712887.400,712595.000,712595.200,712990.100,712798.600,0.000
283165.800,712221.300,712360.100,712819.700,712527.100,712527.000,712922.100,712730.400,0.000
283060.200,712149.400,712288.000,712747.400,712455.600,712455.100,712850.300,712659.100,0.000
282984.200,712082.400,712220.600,712680.100,712388.400,712388.300,712782.900,712592.100,0.000
282958.000,712018.900,712157.600,712616.600,712324.800,712325.100,712719.300,712528.700,0.000
282941.300,711956.400,712094.900,712553.900,712262.000,712261.700,712656.600,712466.200,0.000
282879.900,711894.700,712033.600,712492.400,712200.400,712200.100,712594.800,712404.800,0.000
282777.600,711829.600,711969.100,712427.400,712135.900,712135.400,712529.800,712339.900,0.000
282696.700,711767.100,711906.400,712365.000,712073.100,712072.900,712467.600,712277.400,0.000
282672.600,711712.900,711852.100,712310.900,712018.700,712018.600,712413.100,712222.800,0.000
282661.300,711661.500,711801.000,712259.500,711967.600,711967.600,712361.800,712171.300,0.000
282603.500,711606.400,711745.800,712204.500,711912.800,711912.600,712306.900,712116.400,0.000
282505.600,711553.400,711692.400,712150.900,711859.200,711859.400,712253.700,712063.300,0.000
282436.000,711505.100,711644.000,712102.600,711810.600,711810.800,712204.900,712014.800,0.000
282415.900,711459.300,711598.100,712056.800,711765.400,711765.300,712159.200,711969.200,0.000
282413.000,711415.800,711554.800,712013.400,711721.900,711721.900,712115.700,711925.600,0.000
282360.000,711370.100,711509.200,711967.800,711676.200,711676.400,712070.400,711880.200,0.000
282268.100,711322.500,711461.300,711919.800,711627.900,711628.500,712022.400,711832.000,0.000
282202.400,711278.500,711417.500,711876.200,711583.900,711584.600,711978.600,711788.400,0.000
282187.300,711238.300,711376.900,711835.600,711543.900,711544.300,711938.100,711747.900,0.000
282184.200,711198.500,711336.800,711795.600,711504.100,711504.400,711898.400,711707.800,0.000
282138.500,711160.800,711300.100,711758.400,711466.600,711467.100,711861.300,711670.900,0.000
282052.200,711121.700,711260.800,711719.400,711427.600,711428.000,711822.100,711631.800,0.000
281985.300,711081.700,711220.600,711679.100,711387.100,711387.700,711782.100,711591.400,0.000
281969.600,711047.800,711186.600,711645.000,711353.100,711353.500,711747.900,711557.400,0.000
281966.700,711016.200,711155.300,711613.500,711321.800,711322.200,711716.100,711525.700,0.000
281915.300,710981.600,711120.600,711578.600,711287.100,711287.400,711681.400,711491.000,0.000
281824.600,710947.100,711086.400,711543.800,711252.100,711252.800,711646.800,711456.500,0.000
281757.300,710912.300,711051.300,711508.900,711217.300,711217.900,711612.200,711421.400,0.000
281750.700,710884.500,711023.100,711481.200,711189.600,711190.000,711584.100,711393.400,0.000
281754.400,710857.400,710996.400,711454.400,711162.700,711163.200,711557.000,711366.800,0.000
281707.800,710825.600,710964.700,711422.600,711131.100,711131.400,711525.400,711335.200,0.000
281620.400,710789.300,710928.200,711385.900,711094.800,711095.200,711489.100,711299.100,0.000
281564.400,710759.900,710898.600,711356.600,711065.300,711066.100,711459.800,711270.000,0.000
281560.800,710735.300,710874.400,711332.100,711040.700,711041.100,711435.100,711245.100,0.000
281564.800,710708.900,710848.000,711305.700,711014.500,711014.700,711408.600,711218.600,0.000
